arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
sample_factory/envs/env_utils.py,funcao,vizdoom_available,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_utils.py,funcao,retry,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/envs/env_utils.py,funcao,find_wrapper_interface,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/envs/env_utils.py,funcao,get_default_reward_shaping,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_utils.py,funcao,set_reward_shaping,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/envs/env_utils.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_utils.py,funcao,set_training_info,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_utils.py,funcao,find_training_info_interface,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_utils.py,funcao,num_env_steps,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/envs/env_wrappers.py,funcao,has_image_observations,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/envs/env_wrappers.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_wrappers.py,funcao,_calc_new_obs_space,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
sample_factory/envs/env_wrappers.py,funcao,_convert_obs,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/envs/env_wrappers.py,funcao,_observation,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_wrappers.py,funcao,reset,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_wrappers.py,funcao,step,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/envs/env_wrappers.py,funcao,reward,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_wrappers.py,funcao,_random_limit,2,4,3,5,6,8,10.0,20.6797,1.25,25.8496,1.4361,0.0069
sample_factory/envs/env_wrappers.py,funcao,_transpose,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_wrappers.py,funcao,observation,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/env_wrappers.py,funcao,_record,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/envs/pettingzoo_envs.py,funcao,__init__,1,2,2,2,3,4,2.0,6.3399,0.5,3.1699,0.1761,0.0021
sample_factory/envs/pettingzoo_envs.py,funcao,reset,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/envs/pettingzoo_envs.py,funcao,step,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
sample_factory/envs/pettingzoo_envs.py,funcao,render,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/pettingzoo_envs.py,funcao,close,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/envs/pettingzoo_envs.py,funcao,all_equal,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/envs/pettingzoo_envs.py,funcao,normalize_observation_space,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/envs/pettingzoo_envs.py,funcao,normalize_observation,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/envs/pettingzoo_envs.py,funcao,normalize_info,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
